/vout X,/vout Y
0,0.9999851251708988
0.02,0.9999709940835951
0.04,0.9999435860722254
0.06,0.9998911231092312
0.08,0.9997923606413505
0.1,0.9996102448280152
0.12,0.9992826933299537
0.14,0.998710312443345
0.16,0.9977413698403766
0.18,0.9961543435430087
0.2,0.993637084929184
0.22,0.9897589074209694
0.24,0.9839283672753593
0.26,0.9753247739350993
0.28,0.9627802982889664
0.3,0.9445526761809415
0.32,0.9177931151792631
0.34,0.8769119586443318
0.36,0.8051087272623927
0.3800000000000001,0.6497434860271383
0.4000000000000001,0.4218461064917278
0.4200000000000001,0.1948305403043482
0.4400000000000001,0.08102168575402989
0.4600000000000001,0.05077083538781856
0.4800000000000001,0.03551934766942662
0.5000000000000001,0.02588032885611508
0.5200000000000001,0.01925758904846181
0.5400000000000001,0.01445104373116655
0.5600000000000002,0.01085871700786662
0.5800000000000002,0.008124484799713899
0.6000000000000002,0.006022995146014318
0.6200000000000002,0.004403733033707474
0.6400000000000002,0.00316133869916159
0.6600000000000003,0.002218621732971616
0.6800000000000003,0.001516207825412459
0.7000000000000003,0.00100597673155395
0.7200000000000003,0.0006470336264284397
0.7400000000000003,0.0004036968609252639
0.7600000000000003,0.0002450760942752164
0.7800000000000004,0.0001455296329054139
0.8000000000000004,8.511918663214493e-05
0.8200000000000004,4.944669869561029e-05
0.8400000000000004,2.881521054858802e-05
0.8600000000000004,1.706086872529956e-05
0.8800000000000004,1.043365717189217e-05
0.9000000000000005,6.722593477610658e-06
0.9200000000000005,4.652264609710391e-06
0.9400000000000005,3.498011970406246e-06
0.9600000000000005,2.852488699163043e-06
0.9800000000000005,2.488502444862944e-06
1,2.280094609661073e-06
