/vout X,/vout Y
0,0.9994915437326328
0.02,0.9990748307936947
0.04,0.9983615467593758
0.06,0.9971827994411535
0.08,0.9953044873920299
0.1,0.9924142481523317
0.12,0.9881055842139786
0.14,0.9818553077783525
0.16,0.9729908861058683
0.18,0.9606435863764867
0.2,0.9436768055503784
0.22,0.9205553449165853
0.24,0.889048053839541
0.26,0.8454087942065824
0.28,0.7816123476527039
0.3,0.6737910902143988
0.32,0.5022355816595845
0.34,0.3066608452307246
0.36,0.1473328585460296
0.3800000000000001,0.08479255555418234
0.4000000000000001,0.06031875142935916
0.4200000000000001,0.04596647150363632
0.4400000000000001,0.03619058809119098
0.4600000000000001,0.0290136642370708
0.4800000000000001,0.02350844958094626
0.5000000000000001,0.01914900832859291
0.5200000000000001,0.01562277785594533
0.5400000000000001,0.01272780398582861
0.5600000000000002,0.01032747470033108
0.5800000000000002,0.008325875479950156
0.6000000000000002,0.006653461020958826
0.6200000000000002,0.0052582771275189
0.6400000000000002,0.004100344331097521
0.6600000000000003,0.003147917171628853
0.6800000000000003,0.002374876297477849
0.7000000000000003,0.001758796948157747
0.7200000000000003,0.001279421165631252
0.7400000000000003,0.0009174392625481253
0.7600000000000003,0.0006536895576880314
0.7800000000000004,0.0004690153333320303
0.8000000000000004,0.0003448945784034678
0.8200000000000004,0.0002645836231293078
0.8400000000000004,0.0002141995919712932
0.8600000000000004,0.0001832257953278944
0.8800000000000004,0.0001643224533088651
0.9000000000000005,0.0001526971836342684
0.9200000000000005,0.0001453729807191394
0.9400000000000005,0.0001405643812304776
0.9600000000000005,0.0001372256734976888
0.9800000000000005,0.0001347537311676424
1,0.0001328038149232634
