/vout X,/vout Y
0,0.9998413363338278
0.02,0.9996993608517438
0.04,0.9994402679963504
0.06,0.9989804882997703
0.08,0.9981903041775265
0.1,0.9968789038008651
0.12,0.9947794299343956
0.14,0.991533657063003
0.16,0.9866734536838031
0.18,0.9795945176430204
0.2,0.9695150214177746
0.22,0.9554268401507117
0.24,0.9359982810004868
0.26,0.9094396604287354
0.28,0.8732955442666267
0.3,0.8245891163120088
0.32,0.7639067525286396
0.34,0.7045151612613008
0.36,0.6553300845344211
0.3800000000000001,0.6128581612134752
0.4000000000000001,0.5735298046065271
0.4200000000000001,0.5357041032621154
0.4400000000000001,0.4986566060127003
0.4600000000000001,0.4621130811174246
0.4800000000000001,0.4260380956621739
0.5000000000000001,0.3905457175407989
0.5200000000000001,0.355877945069949
0.5400000000000001,0.3224343496579203
0.5600000000000002,0.2908518031954189
0.5800000000000002,0.262089572725019
0.6000000000000002,0.2372539463672774
0.6200000000000002,0.2168730792745879
0.6400000000000002,0.2004831684692047
0.6600000000000003,0.1872046204262889
0.6800000000000003,0.1762709046998998
0.7000000000000003,0.1671247600904176
0.7200000000000003,0.1593714165826373
0.7400000000000003,0.152726475262813
0.7600000000000003,0.146979250167297
0.7800000000000004,0.1419688350102486
0.8000000000000004,0.1375686343289838
0.8200000000000004,0.1336765348324142
0.8400000000000004,0.1302089465998463
0.8600000000000004,0.127097330082411
0.8800000000000004,0.1242859710681282
0.9000000000000005,0.1217300941668984
0.9200000000000005,0.1193939392457951
0.9400000000000005,0.1172488661819165
0.9600000000000005,0.1152716875550157
0.9800000000000005,0.1134433430694625
1,0.1117479123640929
