/vout X,/vout Y,/vout1 X,/vout1 Y
0,0.9999639171488274,0,0.185688548483648
0.02,0.9999308136761005,0.02,0.1786195427896289
0.04,0.999868505795076,0.04,0.1716626283154245
0.06,0.9997536656802172,0.06,0.164816065231849
0.08,0.9995473014544156,0.08,0.158076402345217
0.1,0.9991872908002175,0.1,0.1514378627689371
0.12,0.9985796785566193,0.12,0.1448915363737289
0.14,0.997589516718543,0.14,0.1384244394313223
0.16,0.996031569572992,0.16,0.132018513815185
0.18,0.9936599913210402,0.18,0.1256495511625292
0.2,0.9901549688853872,0.2,0.1192858743180586
0.22,0.9851043846440757,0.22,0.1128865926891545
0.24,0.9779798133142873,0.24,0.1063996840721748
0.26,0.9681070632379452,0.26,0.09976133000984511
0.28,0.9546289010696755,0.28,0.09290010726513204
0.3,0.9364388463149441,0.3,0.08575316910693116
0.32,0.9120823400522552,0.32,0.07830488920754013
0.34,0.8794378679998067,0.34,0.07064894613377747
0.36,0.8351235051515991,0.36,0.06301976048977412
0.3800000000000001,0.7744210505615784,0.3800000000000001,0.05571343611266226
0.4000000000000001,0.7030615381318948,0.4000000000000001,0.0489598191742675
0.4200000000000001,0.6447955081542702,0.4200000000000001,0.04287246789638054
0.4400000000000001,0.5993833233666219,0.4400000000000001,0.03746721825373951
0.4600000000000001,0.5603232667542504,0.4600000000000001,0.03270458334811645
0.4800000000000001,0.5243968056428204,0.4800000000000001,0.02851818312052008
0.5000000000000001,0.4903099724279873,0.5000000000000001,0.0248356783713404
0.5200000000000001,0.4574749599563703,0.5200000000000001,0.02158869159564563
0.5400000000000001,0.4256496899724113,0.5400000000000001,0.01871714074068351
0.5600000000000002,0.3947875507157317,0.5600000000000002,0.0161703332200932
0.5800000000000002,0.3649821767617746,0.5800000000000002,0.01390648152523198
0.6000000000000002,0.3364642639616951,0.6000000000000002,0.01189157642284903
0.6200000000000002,0.3096310024332938,0.6200000000000002,0.01009809575325251
0.6400000000000002,0.2850639092500857,0.6400000000000002,0.008503768617609025
0.6600000000000003,0.2633976258147502,0.6600000000000003,0.007090479779207092
0.6800000000000003,0.2449527070302696,0.6800000000000003,0.005843334122481881
0.7000000000000003,0.229522274985485,0.7000000000000003,0.004749872490716903
0.7200000000000003,0.2166096315893588,0.7200000000000003,0.003799418385671676
0.7400000000000003,0.2057153700590029,0.7400000000000003,0.002982528185753505
0.7600000000000003,0.1964363785669757,0.7600000000000003,0.002290509049393168
0.7800000000000004,0.1884647710435962,0.7800000000000004,0.001714957266964327
0.8000000000000004,0.1815653118977629,0.8000000000000004,0.001247264759689538
0.8200000000000004,0.1755545547559539,0.8200000000000004,0.0008780691906633076
0.8400000000000004,0.1702853758007029,0.8400000000000004,0.0005967177155944008
0.8600000000000004,0.1656365041025909,0.8600000000000004,0.0003909628907419839
0.8800000000000004,0.1615061987559255,0.8800000000000004,0.0002471891349464363
0.9000000000000005,0.1578090204825109,0.9000000000000005,0.0001513161478404187
0.9200000000000005,0.1544742941529919,0.9200000000000005,9.014456993358107e-05
0.9400000000000005,0.1514448698394807,0.9400000000000005,5.257472067468576e-05
0.9600000000000005,0.1486754034456912,0.9600000000000005,3.019501907271714e-05
0.9800000000000005,0.1461301763819936,0.9800000000000005,1.717057427475683e-05
1,0.1437808812113392,1,9.721477139149247e-06
