/vout X,/vout Y,/vout1 X,/vout1 Y
0,0.9994709055519141,0,0.09589496024987691
0.02,0.9990386512417397,0.02,0.09191101489831985
0.04,0.9982994564864319,0.04,0.0879702711363221
0.06,0.9970798630163924,0.06,0.08406674398029543
0.08,0.9951397333295811,0.08,0.08019144196565667
0.1,0.9921594772314524,0.1,0.07633164018523213
0.12,0.9877243530706691,0.12,0.07247018273601422
0.14,0.9813025153263003,0.14,0.06858482435275434
0.16,0.9722142840490319,0.16,0.06464785884385865
0.18,0.9595877331757635,0.18,0.06062708171057716
0.2,0.9423188295037825,0.2,0.05649049937807197
0.22,0.9190088739483926,0.22,0.0522180690856726
0.24,0.8880197559625779,0.24,0.04782041806412676
0.26,0.8481374984249527,0.26,0.04335473168237577
0.28,0.8014401428448495,0.28,0.03892165422947875
0.3,0.7554402879187867,0.3,0.03463963774974967
0.32,0.7148289406382178,0.32,0.03061280335950113
0.34,0.6788480228873667,0.34,0.0269102744249423
0.36,0.6457212347149599,0.36,0.02356231486812244
0.3800000000000001,0.6142628332801768,0.3800000000000001,0.02056794919120957
0.4000000000000001,0.5838061308656336,0.4000000000000001,0.01790637613130092
0.4200000000000001,0.5540054124288472,0.4200000000000001,0.01554711437463106
0.4400000000000001,0.5246993590047005,0.4400000000000001,0.01345705461358452
0.4600000000000001,0.4958331446537974,0.4600000000000001,0.01160454344712951
0.4800000000000001,0.4674174435918449,0.4800000000000001,0.009961316100634377
0.5000000000000001,0.4395093536602492,0.5000000000000001,0.008503104044239318
0.5200000000000001,0.41220740020895,0.5200000000000001,0.007209527022086993
0.5400000000000001,0.3856574670180087,0.5400000000000001,0.006063652692051113
0.5600000000000002,0.36006912538412,0.5600000000000002,0.00505144040203219
0.5800000000000002,0.3357407492180793,0.5800000000000002,0.004161180292356885
0.6000000000000002,0.3130789113487686,0.6000000000000002,0.003382978373237466
0.6200000000000002,0.292560257589227,0.6200000000000002,0.002708305216958356
0.6400000000000002,0.2745645173128669,0.6400000000000002,0.0021296074228575
0.6600000000000003,0.2591598262144317,0.6600000000000003,0.0016399685029525
0.6800000000000003,0.2460939472860212,0.6800000000000003,0.00123279517337762
0.7000000000000003,0.2349825338270374,0.7000000000000003,0.0009014986029984688
0.7200000000000003,0.2254593239720093,0.7200000000000003,0.0006391509035823044
0.7400000000000003,0.2172231631117935,0.7400000000000003,0.0004381465561942733
0.7600000000000003,0.2100358820131029,0.7600000000000003,0.0002899890773760007
0.7800000000000004,0.2037094520093824,0.7800000000000004,0.0001853885057637596
0.8000000000000004,0.1980945945455852,0.8000000000000004,0.0001147783748516466
0.8200000000000004,0.1930725468056873,0.8200000000000004,6.91292794084096e-05
0.8400000000000004,0.1885489826048047,0.8400000000000004,4.072826651138086e-05
0.8600000000000004,0.1844490630365997,0.8600000000000004,2.360782938859355e-05
0.8800000000000004,0.180713197295794,0.8800000000000004,1.353800136225174e-05
0.9000000000000005,0.1772934972276778,0.9000000000000005,7.72423474295573e-06
0.9200000000000005,0.1741509708081431,0.9200000000000005,4.41488436121965e-06
0.9400000000000005,0.1712534063956128,0.9400000000000005,2.552406496824848e-06
0.9600000000000005,0.1685738221981222,0.9600000000000005,1.514818912290934e-06
0.9800000000000005,0.1660893385396997,0.9800000000000005,9.429679440275617e-07
1,0.1637803513141612,1,6.321918436129861e-07
