/vout1 X,/vout1 Y,/vout X,/vout Y
0,0.1265104766319131,0,0.9999844638331145
0.02,0.1205076534585189,0.02,0.9999696781388593
0.04,0.114628841587799,0.04,0.9999410157032439
0.06,0.1088726009828995,0.06,0.9998861885769218
0.08,0.103237163331439,0.08,0.9997830626838482
0.1,0.09772018231651113,0.1,0.9995930971580014
0.12,0.09231831811306181,0.12,0.9992518445609289
0.14,0.08702666464752541,0.14,0.9986563477508108
0.16,0.08183805093452705,0.16,0.9976497804639464
0.18,0.07674230112698172,0.18,0.9960036411391469
0.2,0.07172557224947698,0.2,0.9933964388745
0.22,0.06676990433627664,0.22,0.98938498252764
0.24,0.06185324450205573,0.24,0.9833607355188341
0.26,0.05695073221421006,0.26,0.9744787218249181
0.28,0.05203911099532256,0.28,0.9615344171468754
0.3,0.04710683127218478,0.3,0.9427064039644475
0.32,0.04216971614764545,0.32,0.9150313021588227
0.34,0.03728415100751641,0.34,0.8725618568635186
0.36,0.03254459205165156,0.36,0.7992868698895856
0.3800000000000001,0.02806143555632695,0.3800000000000001,0.6913669907377484
0.4000000000000001,0.02393131157614169,0.4000000000000001,0.6237918264557143
0.4200000000000001,0.02021613375979854,0.4200000000000001,0.57888169428595
0.4400000000000001,0.01693789580635101,0.4400000000000001,0.5418893462288134
0.4600000000000001,0.01408637990427748,0.4600000000000001,0.5084403351249422
0.4800000000000001,0.01163044213736899,0.4800000000000001,0.476805585016168
0.5000000000000001,0.009529546103134065,0.5000000000000001,0.4462810126326802
0.5200000000000001,0.007741372869523058,0.5200000000000001,0.4165742910244769
0.5400000000000001,0.006226171645009126,0.5400000000000001,0.3876057269785677
0.5600000000000002,0.004948640967905553,0.5600000000000002,0.3594248709838639
0.5800000000000002,0.003878314600451716,0.5800000000000002,0.3321842852985301
0.6000000000000002,0.002989176149309448,0.6000000000000002,0.3061505345183055
0.6200000000000002,0.002258943241966192,0.6200000000000002,0.2817411759217559
0.6400000000000002,0.001668245612611238,0.6400000000000002,0.2595393094674743
0.6600000000000003,0.00119978791961205,0.6600000000000003,0.2401356162135325
0.6800000000000003,0.000837537503164019,0.6800000000000003,0.223757360265836
0.7000000000000003,0.0005660126014463022,0.7000000000000003,0.2101316627656325
0.7200000000000003,0.0003698399032626012,0.7200000000000003,0.1987575500349827
0.7400000000000003,0.0002337906004033363,0.7400000000000003,0.1891567057359135
0.7600000000000003,0.0001433571181538196,0.7600000000000003,0.1809480388243042
0.7800000000000004,8.563728984022206e-05,0.7800000000000004,0.1738429628991682
0.8000000000000004,5.00921813551735e-05,0.8000000000000004,0.1676249761239202
0.8200000000000004,2.883343809724587e-05,0.8200000000000004,0.162130889852021
0.8400000000000004,1.640261505697337e-05,0.8400000000000004,0.1572363441029893
0.8600000000000004,9.255341285313824e-06,0.8600000000000004,0.1528451802803127
0.8800000000000004,5.197237539840408e-06,0.8800000000000004,0.148881829685869
0.9000000000000005,2.915177590231976e-06,0.9000000000000005,0.1452859315896039
0.9200000000000005,1.641840743589589e-06,0.9200000000000005,0.1420085360763575
0.9400000000000005,9.362511619209249e-07,0.9400000000000005,0.1390094052951681
0.9600000000000005,5.479925771227372e-07,0.9600000000000005,0.1362550684422835
0.9800000000000005,3.361268292886255e-07,0.9800000000000005,0.1337173954195034
1,2.218887368316119e-07,1,0.1313725315634461
