/vout X,/vout Y,/vout1 X,/vout1 Y
0,0.9999242302022552,0,0.2391231080671558
0.02,0.9998568003207232,0.02,0.2286198551197376
0.04,0.9997341023629952,0.04,0.2183222423026782
0.06,0.9995171067618152,0.06,0.2082258500703922
0.08,0.999145534086972,0.08,0.1983227291179452
0.1,0.9985310135102631,0.1,0.1886008323438858
0.12,0.99755000368709,0.12,0.1790433786804854
0.14,0.9960360998725698,0.14,0.1696281748545672
0.16,0.9937704293505453,0.16,0.1603267697716083
0.18,0.9904685712100861,0.18,0.1511031783653548
0.2,0.9857631784692762,0.2,0.1419120589640291
0.22,0.9791825794279653,0.22,0.1326968741783618
0.24,0.9701255140084497,0.24,0.1233897733626791
0.26,0.9578280576853606,0.26,0.1139166930507972
0.28,0.9412994647430483,0.28,0.1042137432335708
0.3,0.919216827752121,0.3,0.0942649913100828
0.32,0.8896013773518081,0.32,0.08417286436647271
0.34,0.849209515333902,0.34,0.07422438408631581
0.36,0.7934003302185867,0.36,0.06481423365441044
0.3800000000000001,0.7271741345146384,0.3800000000000001,0.05623911700577295
0.4000000000000001,0.6713874556628094,0.4000000000000001,0.04861531767938011
0.4200000000000001,0.6264619844747743,0.4200000000000001,0.04192441116803203
0.4400000000000001,0.5871582481242552,0.4400000000000001,0.03608724773145762
0.4600000000000001,0.5507725046301465,0.4600000000000001,0.03100131996529014
0.4800000000000001,0.516170762899211,0.4800000000000001,0.02656567903481918
0.5000000000000001,0.4828376984792903,0.5000000000000001,0.02268997422193987
0.5200000000000001,0.450561796261972,0.5200000000000001,0.01929734154306571
0.5400000000000001,0.4193007617285501,0.5400000000000001,0.01632408408948579
0.5600000000000002,0.3891281740444145,0.5600000000000002,0.01371803558475311
0.5800000000000002,0.3602232772760133,0.5800000000000002,0.0114365563383863
0.6000000000000002,0.33288857486012,0.6000000000000002,0.009444596501620718
0.6200000000000002,0.3075749850970678,0.6200000000000002,0.007712998317483587
0.6400000000000002,0.2848441480536453,0.6400000000000002,0.006217082187656194
0.6600000000000003,0.2651485892645377,0.6600000000000003,0.004935502927244565
0.6800000000000003,0.2485322769519218,0.6800000000000003,0.003849334653534393
0.7000000000000003,0.2346381073283062,0.7000000000000003,0.002941326197857357
0.7200000000000003,0.2229762950255726,0.7200000000000003,0.002195258442654504
0.7400000000000003,0.2131047662056639,0.7400000000000003,0.001595338924519667
0.7600000000000003,0.2046704119624381,0.7600000000000003,0.001125607484973616
0.7800000000000004,0.1973977058501166,0.7800000000000004,0.0007694165685956241
0.8000000000000004,0.1910698784305394,0.8000000000000004,0.0005091738485854124
0.8200000000000004,0.1855142061224258,0.8200000000000004,0.0003266109811416515
0.8400000000000004,0.1805923177549781,0.8400000000000004,0.0002037215856862828
0.8600000000000004,0.176193863538307,0.8600000000000004,0.0001241241185295275
0.8800000000000004,0.1722317093195028,0.8800000000000004,7.424245772934843e-05
0.9000000000000005,0.1686375808811548,0.9000000000000005,4.379936052371858e-05
0.9200000000000005,0.1653579803687022,0.9200000000000005,2.559253045520122e-05
0.9400000000000005,0.1623506207346427,0.9400000000000005,1.486844263277532e-05
0.9600000000000005,0.1595815745241258,0.9600000000000005,8.624580613805887e-06
0.9800000000000005,0.1570231408085449,0.9800000000000005,5.022541220141956e-06
1,0.1546523095100707,1,2.96099179895488e-06
