/vout X,/vout Y
0,0.9998879841291917
0.02,0.9997892658425948
0.04,0.9996114620433298
0.06,0.9993002228526343
0.08,0.9987733308311755
0.1,0.99791245169737
0.12,0.9965549279162482
0.14,0.9944847190027607
0.16,0.9914207341130752
0.18,0.9870008507340431
0.2,0.980761061819642
0.22,0.9721101927139142
0.24,0.9602989767426541
0.26,0.9443734432253108
0.28,0.9230778592920754
0.3,0.8946095889994846
0.32,0.855935094212472
0.34,0.8005527359705439
0.36,0.7084864343678436
0.3800000000000001,0.5487246254713738
0.4000000000000001,0.3508500272977937
0.4200000000000001,0.1796745929369043
0.4400000000000001,0.1058349210059579
0.4600000000000001,0.07644161846203992
0.4800000000000001,0.05896379681920995
0.5000000000000001,0.04684772995789584
0.5200000000000001,0.03779877349529903
0.5400000000000001,0.03074888121164963
0.5600000000000002,0.02509073138754541
0.5800000000000002,0.02046240849297785
0.6000000000000002,0.0166284517721646
0.6200000000000002,0.01342817359284894
0.6400000000000002,0.01074756310705
0.6600000000000003,0.008502929599423859
0.6800000000000003,0.006630838400699876
0.7000000000000003,0.005081614303397919
0.7200000000000003,0.003814934938158623
0.7400000000000003,0.002796648253735472
0.7600000000000003,0.001996292818524101
0.7800000000000004,0.001385080580284777
0.8000000000000004,0.0009344176142844755
0.8200000000000004,0.0006153094446895154
0.8400000000000004,0.0003989673304588153
0.8600000000000004,0.0002584639045899309
0.8800000000000004,0.0001706697642137214
0.9000000000000005,0.0001175058880374348
0.9200000000000005,8.604053287476465e-05
0.9400000000000005,6.768186235307312e-05
0.9600000000000005,5.703282638861753e-05
0.9800000000000005,5.083662490974845e-05
1,4.718190442341754e-05
