/vout X,/vout Y
0,0.9994709055519141
0.02,0.9990386512417396
0.04,0.9982994564864319
0.06,0.9970798630163925
0.08,0.9951397333295812
0.1,0.9921594772314523
0.12,0.9877243530706691
0.14,0.9813014812298416
0.16,0.9722123641359601
0.18,0.9595877331757618
0.2,0.9423188295037827
0.22,0.9190088739483926
0.24,0.8880197559625778
0.26,0.8481374984249528
0.28,0.8014401428448472
0.3,0.7554402879187871
0.32,0.7148289406382176
0.34,0.678848022887367
0.36,0.6457212347149599
0.3800000000000001,0.6142628332801767
0.4000000000000001,0.5838061308656336
0.4200000000000001,0.5540054124288472
0.4400000000000001,0.5246993590047005
0.4600000000000001,0.4958331446537975
0.4800000000000001,0.4674174435918448
0.5000000000000001,0.439509353660249
0.5200000000000001,0.4122074002089498
0.5400000000000001,0.3856574670180085
0.5600000000000002,0.3600691253841201
0.5800000000000002,0.3357407492180792
0.6000000000000002,0.3130789113487688
0.6200000000000002,0.2925602575892269
0.6400000000000002,0.2745645173128668
0.6600000000000003,0.2591598262144317
0.6800000000000003,0.2460939472860212
0.7000000000000003,0.2349825338270373
0.7200000000000003,0.2254593239720092
0.7400000000000003,0.2172231631117934
0.7600000000000003,0.2100358820131029
0.7800000000000004,0.2037094520093825
0.8000000000000004,0.1980945945455851
0.8200000000000004,0.1930725468056874
0.8400000000000004,0.1885489826048047
0.8600000000000004,0.1844490630365996
0.8800000000000004,0.180713197295794
0.9000000000000005,0.1772934972276777
0.9200000000000005,0.1741509708081431
0.9400000000000005,0.1712534063956128
0.9600000000000005,0.1685738221981223
0.9800000000000005,0.1660893385396998
1,0.1637803513141612
